import time: self [us] | cumulative | imported package
import time:      1194 |       1194 |               wandelbots_api_client.models.out_of_workspace
import time:       923 |        923 |                 wandelbots_api_client.models.plan_collision_free_ptp_request_target
import time:      1072 |       1994 |               wandelbots_api_client.models.plan_collision_free_ptp_request
import time:       485 |        485 |                 wandelbots_api_client.models.safety_zone_violation
import time:       626 |        626 |                 wandelbots_api_client.models.singularity
import time:      1277 |       2387 |               wandelbots_api_client.models.plan_failed_on_trajectory_response
import time:       976 |        976 |               wandelbots_api_client.models.plan_failed_response
import time:       816 |        816 |               wandelbots_api_client.models.plan_request
import time:       563 |        563 |                 wandelbots_api_client.models.plan_successful_response
import time:       640 |       1203 |               wandelbots_api_client.models.plan_response
import time:      2220 |       2220 |                 wandelbots_api_client.models.plan_trajectory_failed_response_error_feedback
import time:       819 |       3038 |               wandelbots_api_client.models.plan_trajectory_failed_response
import time:      1145 |       1145 |               wandelbots_api_client.models.plan_trajectory_request
import time:       793 |        793 |                 wandelbots_api_client.models.plan_trajectory_response_response
import time:       635 |       1427 |               wandelbots_api_client.models.plan_trajectory_response
import time:       992 |        992 |               wandelbots_api_client.models.planned_motion
import time:       390 |        390 |                 wandelbots_api_client.models.program_run_state
import time:      1545 |       1545 |                 wandelbots_api_client.models.store_value
import time:      1279 |       3212 |               wandelbots_api_client.models.program_run
import time:       524 |        524 |               wandelbots_api_client.models.program_runner_reference
import time:       335 |        335 |               wandelbots_api_client.models.release_channel
import time:       728 |        728 |               wandelbots_api_client.models.request
import time:      1435 |       1435 |               wandelbots_api_client.models.request1
import time:      1375 |       1375 |               wandelbots_api_client.models.response_get_value_programs_values_key_get
